word,global,noise-aware,self,top,bot
interviewees,34.069,34.042,35.833,0.000,0.000
portico,9.609,9.539,9.428,0.000,0.000
aziz,31.012,30.980,32.822,0.000,0.000
moldova,12.866,12.937,14.684,0.000,0.000
twohour,32.688,32.677,32.970,0.000,0.000
nicholls,26.660,26.580,25.227,0.000,0.000
mali,30.721,30.850,32.066,0.000,0.000
havana,43.342,43.882,43.113,0.000,0.000
elucidate,19.785,19.752,21.447,0.000,0.000
smoothness,11.154,11.149,10.736,0.000,0.000
patrician,11.867,11.825,11.912,0.000,0.000
averse,9.678,9.734,9.924,0.000,0.000
endowments,20.145,20.098,20.610,0.000,0.000
untrained,25.959,26.037,26.159,0.000,0.000
attenuation,10.958,10.898,12.390,0.000,0.000
trepidation,13.398,13.445,13.785,0.000,0.000
stabilize,44.677,44.723,45.906,0.000,0.000
selectivity,10.088,10.066,10.282,0.000,0.000
untold,33.931,33.929,34.359,0.000,0.000
anathema,9.105,9.158,8.949,0.000,0.000
lowfat,58.650,58.501,57.870,0.000,0.000
interrelationships,11.544,11.549,12.731,0.000,0.000
fillings,18.318,18.346,17.913,0.000,0.000
diners,49.654,49.819,49.930,0.000,0.000
intelligently,9.119,9.092,9.394,0.000,0.000
qualms,12.838,12.778,12.848,0.000,0.000
creaked,21.013,20.940,20.370,0.000,0.000
underdeveloped,15.017,14.929,16.472,0.000,0.000
gus,23.678,23.768,24.138,0.000,0.000
secondclass,26.121,26.028,26.627,0.000,0.000
princely,6.864,6.974,6.948,0.000,0.000
capillary,17.298,17.190,17.669,0.000,0.000
banish,16.639,16.607,16.368,0.000,0.000
233,19.456,19.492,22.073,0.000,0.000
tetanus,14.441,14.339,14.563,0.000,0.000
incisive,8.561,8.559,8.565,0.000,0.000
seduce,17.969,17.888,17.845,0.000,0.000
purcell,20.488,20.426,19.604,0.000,0.000
prying,21.209,21.070,20.314,0.000,0.000
frailty,10.727,10.793,10.633,0.000,0.000
sleeper,18.878,18.888,18.304,0.000,0.000
raucous,25.318,25.259,24.972,0.000,0.000
fleas,17.509,17.568,16.475,0.000,0.000
dredging,20.051,20.034,20.691,0.000,0.000
montrose,37.222,37.115,37.592,0.000,0.000
sharpening,18.762,18.618,18.287,0.000,0.000
lamented,16.931,16.997,17.156,0.000,0.000
smokes,24.137,24.045,23.233,0.000,0.000
willed,12.856,12.862,12.719,0.000,0.000
oiled,17.379,17.379,17.846,0.000,0.000
disrupting,22.283,22.288,22.650,0.000,0.000
prototypes,23.747,23.742,24.209,0.000,0.000
eradicated,20.997,21.026,21.314,0.000,0.000
heartland,21.813,21.602,22.871,0.000,0.000
cram,25.302,25.218,25.594,0.000,0.000
notoriety,28.672,28.421,29.616,0.000,0.000
glaciers,61.213,61.053,59.863,0.000,0.000
downtoearth,18.784,18.690,18.573,0.000,0.000
aegis,10.493,10.542,10.442,0.000,0.000
0005,8.815,8.774,9.239,0.000,0.000
dissolves,19.150,19.207,19.128,0.000,0.000
untenable,14.260,14.245,15.122,0.000,0.000
taboos,20.093,20.002,20.333,0.000,0.000
inducement,7.123,7.095,7.210,0.000,0.000
28yearold,16.551,16.488,16.400,0.000,0.000
grimace,19.187,19.036,18.687,0.000,0.000
ensue,9.435,9.434,9.730,0.000,0.000
waterman,8.483,8.453,7.545,0.000,0.000
joel,24.521,24.572,24.088,0.000,0.000
doves,31.763,31.783,31.425,0.000,0.000
tethered,23.675,23.699,24.074,0.000,0.000
brisbane,15.526,15.678,16.020,0.000,0.000
blakey,8.529,8.452,7.880,0.000,0.000
sag,21.214,21.149,21.097,0.000,0.000
bandits,20.882,20.902,20.984,0.000,0.000
withering,16.151,16.157,15.878,0.000,0.000
diverge,13.512,13.456,13.266,0.000,0.000
shoving,33.352,33.379,33.240,0.000,0.000
wavered,15.359,15.322,15.530,0.000,0.000
rowed,11.696,11.672,10.933,0.000,0.000
racer,42.395,42.420,41.689,0.000,0.000
talons,15.643,15.679,15.047,0.000,0.000
reggie,58.326,58.068,59.053,0.000,0.000
ether,11.240,11.153,11.542,0.000,0.000
isa,8.789,8.768,9.110,0.000,0.000
umm,13.941,13.848,13.366,0.000,0.000
minors,61.094,61.144,61.490,0.000,0.000
defamation,16.333,16.454,16.797,0.000,0.000
nuremberg,35.870,35.798,37.039,0.000,0.000
lacquer,21.161,21.067,21.100,0.000,0.000
preempt,13.721,13.711,13.870,0.000,0.000
gangster,29.350,29.188,28.786,0.000,0.000
milder,21.963,22.015,21.822,0.000,0.000
partisans,16.761,16.802,16.420,0.000,0.000
practicality,16.682,16.669,17.001,0.000,0.000
deities,24.743,24.621,27.242,0.000,0.000
actresses,46.655,46.499,45.261,0.000,0.000
detested,6.285,6.306,6.134,0.000,0.000
bled,18.562,18.505,18.382,0.000,0.000
ridiculed,17.811,17.830,17.981,0.000,0.000
tactile,39.206,39.216,39.359,0.000,0.000
motel,56.364,56.556,55.478,0.000,0.000
spinster,7.641,7.633,7.002,0.000,0.000
doctorate,67.116,67.474,69.380,0.000,0.000
deceptively,16.993,17.026,17.369,0.000,0.000
lacey,13.316,13.281,12.984,0.000,0.000
waterlogged,6.778,6.727,6.966,0.000,0.000
incinerator,16.687,16.441,17.075,0.000,0.000
executing,21.563,21.640,21.236,0.000,0.000
disaffected,15.173,15.181,15.752,0.000,0.000
blackbird,10.195,10.195,9.787,0.000,0.000
dreamy,19.538,19.521,19.381,0.000,0.000
earshot,26.614,26.420,28.492,0.000,0.000
gauntlet,11.339,11.244,11.212,0.000,0.000
quell,24.104,24.119,24.671,0.000,0.000
indecision,10.469,10.469,10.247,0.000,0.000
interconnected,34.905,34.917,35.463,0.000,0.000
buttoned,21.794,21.697,20.808,0.000,0.000
remedied,8.505,8.551,8.737,0.000,0.000
boating,40.913,41.042,40.368,0.000,0.000
wednesdays,27.698,27.764,28.863,0.000,0.000
depots,11.930,11.971,12.550,0.000,0.000
tailormade,5.832,5.797,5.875,0.000,0.000
sac,16.664,16.630,17.140,0.000,0.000
mcmillan,21.125,21.083,21.081,0.000,0.000
loudspeaker,17.898,17.900,17.021,0.000,0.000
confiscation,8.642,8.670,9.343,0.000,0.000
allout,28.143,28.092,27.510,0.000,0.000
disarming,13.133,13.010,13.259,0.000,0.000
smog,52.653,52.746,54.021,0.000,0.000
cartwright,11.061,11.084,10.918,0.000,0.000
blistering,16.605,16.712,16.253,0.000,0.000
susanna,10.243,10.204,10.109,0.000,0.000
massey,13.321,13.246,12.557,0.000,0.000
edi,61.818,61.945,62.685,0.000,0.000
menem,25.335,25.385,24.870,0.000,0.000
