word,global,noise-aware,self,top,bot
beneath,14.014,14.147,17.176,0.000,0.000
remaining,11.365,11.556,12.702,0.000,0.000
joined,15.648,15.055,16.227,0.000,0.000
forget,18.540,18.239,19.696,0.000,0.000
conducted,34.671,34.300,37.159,0.000,0.000
markets,23.354,22.599,24.429,0.000,0.000
famous,14.781,14.710,14.638,0.000,0.000
metal,18.137,18.091,17.450,0.000,0.000
election,54.133,53.317,81.128,0.000,0.000
shared,16.397,16.170,18.951,0.000,0.000
van,40.625,41.554,35.353,0.000,0.000
200,14.770,14.789,12.478,0.000,0.000
speaking,16.075,15.740,19.301,0.000,0.000
focused,32.158,31.917,33.161,0.000,0.000
shook,35.844,35.231,40.850,0.000,0.000
managed,18.870,18.450,24.561,0.000,0.000
ext,69.569,69.778,68.811,0.000,0.000
waste,40.802,39.939,34.455,0.000,0.000
testing,28.544,28.705,28.515,0.000,0.000
fields,28.231,27.834,27.177,0.000,0.000
truck,36.567,36.594,32.443,0.000,0.000
apart,51.504,51.619,52.480,0.000,0.000
providing,18.176,18.331,23.260,0.000,0.000
determined,13.647,13.791,15.482,0.000,0.000
novel,22.553,23.061,21.467,0.000,0.000
newspaper,25.289,24.685,23.918,0.000,0.000
perspective,17.095,16.736,22.752,0.000,0.000
driver,25.356,25.453,22.205,0.000,0.000
elements,16.668,16.340,19.383,0.000,0.000
patterns,20.005,19.701,20.545,0.000,0.000
tend,14.159,13.857,18.315,0.000,0.000
understood,17.383,16.754,20.468,0.000,0.000
easier,18.178,17.549,29.339,0.000,0.000
russian,33.685,34.278,34.410,0.000,0.000
seconds,23.094,22.224,23.993,0.000,0.000
announced,18.975,18.455,24.475,0.000,0.000
beside,20.792,20.426,17.623,0.000,0.000
germany,42.463,41.672,43.499,0.000,0.000
conversation,18.796,17.975,20.645,0.000,0.000
identify,15.758,15.410,20.782,0.000,0.000
pointed,15.465,15.350,16.252,0.000,0.000
unique,19.497,19.345,19.815,0.000,0.000
objects,23.359,22.958,25.310,0.000,0.000
faculty,87.860,88.681,87.914,0.000,0.000
tells,27.506,27.588,31.384,0.000,0.000
email,87.445,88.453,85.897,0.000,0.000
emotional,23.404,22.219,37.406,0.000,0.000
unlike,11.177,11.055,13.445,0.000,0.000
impossible,16.264,15.888,26.020,0.000,0.000
pictures,20.287,20.360,20.728,0.000,0.000
weather,24.138,24.353,25.712,0.000,0.000
score,36.220,35.695,35.233,0.000,0.000
senate,79.570,78.985,92.560,0.000,0.000
thinks,15.572,14.969,19.866,0.000,0.000
intelligence,36.023,36.384,41.763,0.000,0.000
enjoy,12.527,11.855,16.581,0.000,0.000
experienced,19.142,18.773,22.214,0.000,0.000
contemporary,14.013,13.913,15.988,0.000,0.000
birth,35.683,35.256,38.723,0.000,0.000
era,29.592,29.184,30.150,0.000,0.000
golden,32.204,31.009,30.148,0.000,0.000
grown,15.123,14.923,18.187,0.000,0.000
accept,16.207,16.139,20.049,0.000,0.000
actions,25.306,25.070,30.414,0.000,0.000
frequently,13.318,12.894,15.845,0.000,0.000
adult,19.798,20.265,21.767,0.000,0.000
hole,38.538,37.792,32.594,0.000,0.000
background,12.877,12.888,15.742,0.000,0.000
maintain,17.153,16.942,26.263,0.000,0.000
moves,25.703,25.750,28.634,0.000,0.000
minister,79.994,78.107,94.064,0.000,0.000
flight,32.237,32.451,23.165,0.000,0.000
silver,36.777,36.583,32.809,0.000,0.000
ancient,18.186,17.901,21.050,0.000,0.000
strange,9.923,9.895,12.109,0.000,0.000
remove,18.083,18.145,19.104,0.000,0.000
beauty,20.746,21.017,21.663,0.000,0.000
nodded,38.292,37.978,45.209,0.000,0.000
pattern,22.941,22.347,23.510,0.000,0.000
troops,32.709,31.920,34.317,0.000,0.000
feels,22.590,22.563,25.142,0.000,0.000
initial,10.726,10.779,12.528,0.000,0.000
fuel,40.181,40.175,36.593,0.000,0.000
supply,20.686,20.600,21.615,0.000,0.000
expensive,11.696,11.669,13.342,0.000,0.000
handle,19.808,19.442,23.923,0.000,0.000
greatest,21.301,20.988,26.965,0.000,0.000
dangerous,12.328,12.190,15.729,0.000,0.000
explains,23.311,23.087,24.141,0.000,0.000
housing,44.884,43.040,44.275,0.000,0.000
holds,22.010,22.353,25.920,0.000,0.000
russia,40.083,39.518,42.312,0.000,0.000
alive,28.523,29.027,26.429,0.000,0.000
rising,20.188,20.204,24.235,0.000,0.000
damage,26.262,26.059,28.076,0.000,0.000
expression,21.667,21.654,28.880,0.000,0.000
happens,15.707,15.714,16.808,0.000,0.000
longterm,16.436,16.177,19.349,0.000,0.000
sight,21.028,21.276,23.666,0.000,0.000
hardly,13.175,12.973,17.215,0.000,0.000
surprise,14.559,14.512,15.499,0.000,0.000
trail,47.829,47.330,45.187,0.000,0.000
broke,21.512,20.894,22.561,0.000,0.000
france,21.182,21.556,16.235,0.000,0.000
views,19.828,19.806,24.507,0.000,0.000
pushed,18.082,17.815,19.664,0.000,0.000
allows,17.143,17.155,21.287,0.000,0.000
traffic,38.668,38.528,36.131,0.000,0.000
somebody,26.404,25.606,32.560,0.000,0.000
dozen,24.139,24.053,24.220,0.000,0.000
apparently,10.172,10.222,9.985,0.000,0.000
abuse,57.509,56.881,69.513,0.000,0.000
stores,47.921,47.242,43.552,0.000,0.000
somewhere,22.761,22.186,26.433,0.000,0.000
surprised,11.794,11.594,12.707,0.000,0.000
helping,17.320,16.994,21.934,0.000,0.000
rice,27.539,27.405,28.089,0.000,0.000
agencies,40.507,39.801,48.872,0.000,0.000
signed,34.276,34.081,32.449,0.000,0.000
doors,50.069,49.443,54.595,0.000,0.000
thousand,33.011,33.406,33.839,0.000,0.000
clients,16.695,16.195,16.946,0.000,0.000
prison,33.195,33.205,44.209,0.000,0.000
golf,43.292,43.881,35.768,0.000,0.000
opposite,27.781,27.758,29.709,0.000,0.000
nose,21.955,21.479,27.162,0.000,0.000
helps,19.496,19.296,25.672,0.000,0.000
victory,15.253,15.476,17.173,0.000,0.000
sir,38.813,39.128,37.960,0.000,0.000
