word,global,noise-aware,self,top,bot
matrices,3.640,3.244,5.265,0.000,0.000
performance,2.289,2.483,2.349,0.000,0.000
connected,1.254,1.252,1.405,0.000,0.000
source,18.957,18.781,19.111,0.000,0.000
volume,15.937,15.902,17.468,0.000,0.000
processing,6.605,6.784,6.685,0.000,0.000
via,2.177,2.350,2.369,0.000,0.000
iii,3.071,3.255,2.566,0.000,0.000
formalism,4.178,4.048,4.854,0.000,0.000
put,1.972,2.023,1.707,0.000,0.000
third,2.275,2.252,2.613,0.000,0.000
performed,2.822,2.909,2.268,0.000,0.000
moreover,0.623,0.621,0.879,0.000,0.000
approximate,1.144,1.143,1.170,0.000,0.000
correspond,2.022,2.156,2.692,0.000,0.000
times,4.992,4.455,5.874,0.000,0.000
clear,0.592,0.729,0.488,0.000,0.000
subject,2.033,2.046,1.661,0.000,0.000
von,13.176,13.513,12.073,0.000,0.000
ordering,3.001,3.004,3.126,0.000,0.000
thought,3.635,3.764,3.232,0.000,0.000
write,3.793,3.699,4.338,0.000,0.000
algebra,4.984,5.109,5.154,0.000,0.000
seen,1.794,1.870,1.802,0.000,0.000
start,0.607,0.554,0.817,0.000,0.000
sources,10.238,10.005,11.873,0.000,0.000
propagation,12.585,12.161,8.659,0.000,0.000
want,1.546,1.543,1.719,0.000,0.000
numerical,6.081,6.425,6.380,0.000,0.000
actually,0.687,0.839,0.846,0.000,0.000
observation,2.853,2.836,2.879,0.000,0.000
course,1.103,1.245,1.033,0.000,0.000
possibility,3.024,3.031,2.735,0.000,0.000
resulting,0.525,0.501,0.570,0.000,0.000
considering,1.476,1.452,1.705,0.000,0.000
entropy,36.477,37.978,34.649,0.000,0.000
int,10.509,10.733,10.197,0.000,0.000
inequality,5.894,5.547,7.650,0.000,0.000
computed,2.099,2.168,1.888,0.000,0.000
whenever,4.890,4.797,4.740,0.000,0.000
short,1.308,1.329,1.348,0.000,0.000
resolution,8.046,8.043,8.580,0.000,0.000
practical,1.493,1.548,1.430,0.000,0.000
clearly,2.620,2.636,2.540,0.000,0.000
takes,1.930,1.957,2.163,0.000,0.000
potential,26.553,26.176,28.182,0.000,0.000
provided,1.157,1.214,1.369,0.000,0.000
side,13.008,12.481,16.770,0.000,0.000
discuss,1.570,1.571,1.467,0.000,0.000
literature,3.847,3.794,3.654,0.000,0.000
close,1.064,0.984,0.871,0.000,0.000
continuous,10.285,10.175,10.264,0.000,0.000
unique,2.146,2.390,1.528,0.000,0.000
