word,global,noise-aware,self,top,bot
string,5.918,5.587,5.527,0.000,0.000
contraction,7.734,7.447,7.808,0.000,0.000
similarly,1.775,1.499,1.556,0.000,0.000
infinity,3.208,3.200,3.167,0.000,0.000
research,4.120,3.911,3.682,0.000,0.000
completely,0.650,0.635,0.776,0.000,0.000
recent,1.793,1.643,0.987,0.000,0.000
microscopic,0.890,0.871,0.836,0.000,0.000
full,2.116,1.974,1.571,0.000,0.000
several,3.984,3.803,2.091,0.000,0.000
developed,0.648,0.609,0.916,0.000,0.000
divergence,4.093,3.832,4.093,0.000,0.000
authors,0.871,0.885,0.906,0.000,0.000
various,3.531,3.783,3.534,0.000,0.000
loss,6.755,6.908,4.236,0.000,0.000
ones,1.429,1.408,2.132,0.000,0.000
denotes,1.045,0.846,1.079,0.000,0.000
whole,2.055,1.953,1.852,0.000,0.000
prove,4.288,4.471,8.980,0.000,0.000
direct,0.505,0.463,0.360,0.000,0.000
describes,1.683,1.662,2.580,0.000,0.000
remark,3.297,3.398,5.557,0.000,0.000
maximum,5.690,5.618,5.559,0.000,0.000
concept,15.697,15.873,16.555,0.000,0.000
clearly,2.620,2.644,2.510,0.000,0.000
yield,1.625,1.633,1.643,0.000,0.000
degrees,7.770,7.619,7.843,0.000,0.000
arguments,9.585,10.011,10.951,0.000,0.000
denote,6.966,6.889,9.554,0.000,0.000
proc,11.068,10.832,9.312,0.000,0.000
index,1.102,1.093,1.948,0.000,0.000
ordinary,1.286,1.316,1.186,0.000,0.000
correspond,2.022,1.948,3.604,0.000,0.000
transition,4.007,3.797,4.655,0.000,0.000
science,5.660,5.377,6.429,0.000,0.000
circuit,10.845,10.972,7.843,0.000,0.000
unique,2.146,1.927,1.991,0.000,0.000
starting,1.819,1.777,1.768,0.000,0.000
contains,7.975,7.816,8.257,0.000,0.000
acting,3.530,3.628,4.500,0.000,0.000
chosen,0.967,0.934,1.032,0.000,0.000
conclude,0.653,0.619,0.571,0.000,0.000
making,11.415,11.244,11.084,0.000,0.000
orthogonal,4.800,4.655,3.455,0.000,0.000
every,11.575,11.837,13.299,0.000,0.000
formulas,10.448,10.210,8.954,0.000,0.000
necessarily,1.138,1.109,1.717,0.000,0.000
london,3.303,3.536,3.429,0.000,0.000
know,3.119,3.249,2.567,0.000,0.000
whether,4.119,3.964,4.831,0.000,0.000
end,1.318,1.304,1.176,0.000,0.000
words,17.913,18.069,18.116,0.000,0.000
formulae,4.956,4.367,3.242,0.000,0.000
certain,1.950,1.859,1.712,0.000,0.000
though,0.614,0.617,0.604,0.000,0.000
reduces,0.875,0.841,1.368,0.000,0.000
contributions,2.506,2.663,2.699,0.000,0.000
box,2.590,2.533,2.778,0.000,0.000
processes,3.682,2.885,3.017,0.000,0.000
possibility,3.024,2.970,2.955,0.000,0.000
follow,0.951,1.004,1.366,0.000,0.000
consequently,0.833,0.763,0.924,0.000,0.000
bounded,3.830,3.739,6.013,0.000,0.000
objects,7.315,7.040,7.656,0.000,0.000
