word,global,noise-aware,self,top,bot
processing,5.889,5.996,6.045,0.000,0.000
via,6.731,6.532,6.959,0.000,0.000
iii,3.247,3.303,4.506,0.000,0.000
formalism,7.181,7.590,8.151,0.000,0.000
put,2.905,2.931,2.990,0.000,0.000
third,9.994,9.876,10.617,0.000,0.000
performed,14.619,14.037,16.869,0.000,0.000
moreover,2.115,2.092,2.179,0.000,0.000
approximate,4.272,4.370,4.090,0.000,0.000
correspond,2.368,2.093,2.731,0.000,0.000
times,6.015,6.123,6.155,0.000,0.000
clear,3.655,3.581,3.601,0.000,0.000
implementation,1.232,1.319,1.326,0.000,0.000
subject,2.458,2.465,2.342,0.000,0.000
von,13.560,13.583,14.996,0.000,0.000
ordering,2.971,2.931,2.907,0.000,0.000
write,1.371,1.460,1.008,0.000,0.000
algebra,2.435,2.549,2.219,0.000,0.000
seen,1.863,1.896,1.615,0.000,0.000
start,0.912,0.944,1.160,0.000,0.000
sources,2.401,2.507,2.706,0.000,0.000
das,14.207,15.101,18.500,0.000,0.000
propagation,7.261,7.259,6.474,0.000,0.000
want,2.407,2.448,2.397,0.000,0.000
numerical,28.581,28.230,33.586,0.000,0.000
actually,1.660,1.646,1.607,0.000,0.000
observation,3.790,3.703,3.998,0.000,0.000
course,1.842,1.788,1.805,0.000,0.000
possibility,7.863,7.818,8.691,0.000,0.000
resulting,2.484,2.645,2.206,0.000,0.000
considering,1.151,1.181,1.074,0.000,0.000
int,10.456,10.541,14.525,0.000,0.000
inequality,6.231,6.101,6.393,0.000,0.000
entanglement,5.280,5.384,5.431,0.000,0.000
computed,3.650,3.990,4.548,0.000,0.000
short,3.982,4.018,3.984,0.000,0.000
resolution,9.927,10.176,9.917,0.000,0.000
practical,2.335,2.365,2.463,0.000,0.000
clearly,2.334,2.311,2.233,0.000,0.000
takes,4.080,4.064,3.684,0.000,0.000
potential,36.370,36.088,36.690,0.000,0.000
provided,1.795,1.976,1.864,0.000,0.000
side,15.390,15.633,14.388,0.000,0.000
discuss,1.464,1.637,2.462,0.000,0.000
literature,2.261,2.246,2.135,0.000,0.000
close,10.667,10.509,11.231,0.000,0.000
continuous,1.367,1.331,1.496,0.000,0.000
unique,3.920,3.928,4.020,0.000,0.000
clusters,10.167,10.534,10.660,0.000,0.000
usually,0.704,0.652,0.828,0.000,0.000
line,12.077,11.494,12.589,0.000,0.000
furthermore,1.627,1.712,1.614,0.000,0.000
york,8.437,8.491,15.665,0.000,0.000
typical,7.049,7.062,8.012,0.000,0.000
explanation,1.781,1.772,1.654,0.000,0.000
parts,11.146,11.107,10.793,0.000,0.000
